基金代码,基金名称,期初日期,期末日期,规模-亿元,成立年数,年化收益率,上涨季度比例,上涨月份比例,上涨星期比例,季涨跌幅标准差,月涨跌幅标准差,周涨跌幅标准差,最大回撤率,近3年年化收益率,近3年上涨季度比例,近3年上涨月份比例,近3年上涨星期比例,近3年季涨跌幅标准差,近3年月涨跌幅标准差,近3年周涨跌幅标准差,近3年最大回撤率,近1年年化收益率,近1年上涨月份比例,近1年上涨星期比例,近1年月涨跌幅标准差,近1年周涨跌幅标准差,近1年最大回撤率,最近一个月涨跌幅,近1年夏普比率,近3年夏普比率,近1年卡玛比率,近3年卡玛比率,全期最长回撤修复天数,近1年最长回撤修复天数,近3年最长回撤修复天数,全期最大单日跌幅,近1年最大单日跌幅,近3年最大单日跌幅,基金类型,申购状态,赎回状态,下一开放日,购买起点,日累计限定金额,管理费率,托管费率,销售服务费率,最高认购费率,最高认购费率来源,手续费,手续费来源,最近更新日期,最近人事变动日期
007100,中银添利债券发起E,2019/3/15,2026/2/27,62.51,8.97,5.26,94,81,71,0.99,0.53,0.24,1.99,4.77,100,83,66,0.69,0.46,0.26,1.26,4.58,83,65,0.39,0.21,0.72,1.12,2.21,1.73,6.33,3.77,100,36,66,-0.94,-0.43,-0.94,债券型-混合二级,开放申购,开放赎回,,10,1E+11,0.6,0.2,0.2,,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,
007667,华夏鼎泓债券C,2019/11/19,2026/2/27,7.21,6.28,4.95,80,67,62,1.74,1.07,0.57,5.57,4.21,83,72,63,0.75,0.48,0.24,1.24,4.49,83,75,0.44,0.21,1.03,0.92,2.14,1.53,4.36,3.39,476,28,51,-2.8,-0.76,-0.76,债券型-混合二级,开放申购,开放赎回,,10,1E+11,0.6,0.2,0.4,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2024/11/27
007884,易方达恒盛3个月定开混合,2019/9/6,2026/2/27,5.99,12.79,4.95,88,75,62,1.29,0.68,0.29,3.37,3.79,92,81,63,0.57,0.37,0.19,1.22,4.43,92,65,0.33,0.19,0.57,0.94,2.37,1.61,7.7,3.1,400,35,67,-2.01,-0.29,-0.7,混合型-偏债,暂停申购,暂停赎回,2026/4/16,50000000000,0.01,0.6,0.1,,1,fund_overview.最高认购费率,0.1,fund_purchase.手续费,2026/2/27,2023/11/17
008036,蜂巢恒利债券C,2020/9/23,2026/2/27,3.16,5.21,3.93,86,73,64,1.16,0.63,0.3,4.15,4.79,100,81,66,0.64,0.52,0.27,1.56,4.35,92,67,0.32,0.21,0.85,0.72,2.26,1.66,5.08,3.07,412,55,67,-0.91,-0.71,-0.91,债券型-混合二级,开放申购,开放赎回,,10,1E+11,0.6,0.1,0.1,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2024/8/22
008173,兴全稳泰债券C,2019/11/6,2026/2/27,21.81,13.96,5.09,79,69,58,2.36,1.28,0.56,9.46,3.86,83,72,54,0.98,0.59,0.32,2.07,4.31,75,57,0.4,0.26,0.94,0.76,1.69,1.04,4.58,1.87,484,57,91,-4.08,-0.55,-1.22,债券型-长债,限大额,开放赎回,,10,1000000,0.3,0.1,0.2,,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,
008894,创金合信鑫利混合C,2020/1/17,2026/2/27,2.64,18.13,5.53,79,69,63,2.26,1.08,0.44,6.64,3.6,92,81,66,0.56,0.41,0.22,1.38,4.24,83,69,0.34,0.2,0.68,0.82,1.98,1.3,6.25,2.6,247,34,122,-1.81,-0.51,-0.78,混合型-偏债,限大额,开放赎回,,10,5000000,0.4,0.1,0.01,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2024/3/21
009078,红土创新稳进混合C,2020/3/6,2026/2/27,2.63,7.23,3.52,83,73,65,1.23,0.67,0.33,4.75,3.85,92,81,60,0.88,0.52,0.28,2.33,4.16,83,61,0.38,0.24,1.06,0.9,1.66,1.15,3.91,1.65,372,46,62,-0.92,-0.37,-0.92,混合型-偏债,开放申购,开放赎回,,10,1E+11,0.6,0.1,0.1,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,
121009,国投瑞银稳定增利债券C,2008/1/11,2026/2/27,15.87,10.72,5.62,81,73,62,2.94,1.78,0.9,6.95,4.16,100,81,72,0.63,0.35,0.15,0.93,3.9,75,65,0.34,0.15,0.62,0.94,2.3,2.44,6.28,4.46,459,35,63,-2.04,-0.16,-0.35,债券型-混合一级,开放申购,开放赎回,,10,1E+11,0.6,0.2,0.3,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2021/4/24
161014,富国汇利回报两年定期开放债券,2010/9/9,2026/2/27,6.88,10.2,4.99,88,81,73,1.73,0.86,0.36,6.19,4.93,100,92,80,0.48,0.39,0.17,1.3,3.77,100,73,0.19,0.12,0.4,0.63,2.77,2.85,9.45,3.79,268,34,129,-2.07,-0.24,-0.35,债券型-混合一级,暂停申购,暂停赎回,2026/3/16,10,1E+11,0.5,0.15,,0.6,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026/2/27,2024/11/6
161221,国投瑞银双债债券C,2014/3/31,2026/2/27,15.38,17.98,4.36,78,67,61,1.57,0.76,0.33,5.78,4.79,92,75,71,0.94,0.48,0.24,1.34,3.67,75,69,0.37,0.25,1.15,0.68,1.36,1.92,3.2,3.58,385,51,57,-1.14,-0.65,-0.65,债券型-混合一级,开放申购,开放赎回,,10,1E+11,0.7,0.2,0.4,,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2024/12/7
164902,交银信用添利债券(LOF),2011/1/27,2026/2/27,4.34,12.58,4.28,84,71,60,1.49,0.88,0.43,5.86,4.55,92,72,62,0.86,0.48,0.24,1.24,3.64,75,57,0.42,0.19,0.81,0.65,1.7,1.77,4.5,3.66,328,39,67,-1.31,-0.24,-0.85,债券型-混合一级,限大额,开放赎回,,10,1000000,0.6,0.2,,0.6,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026/2/27,2015/8/29
519680,交银增利债券A/B,2008/3/31,2026/2/27,10.74,6.6,3.5,96,86,78,0.47,0.29,0.12,0.82,4.2,92,89,75,0.6,0.34,0.14,0.82,3.22,92,76,0.25,0.1,0.3,0.43,2.26,2.6,10.55,5.12,100,28,49,-0.35,-0.11,-0.33,债券型-混合一级,开放申购,开放赎回,,10,1E+11,0.3,0.1,0,0.6,fund_overview.最高认购费率,0.08,fund_purchase.手续费,2026/2/27,2024/11/23
519682,交银增利债券C,2008/3/31,2026/2/27,2.08,15.24,4.7,82,76,65,1.82,0.8,0.39,6.34,3.13,92,83,68,0.62,0.35,0.17,1.47,3.21,83,71,0.21,0.12,0.44,0.45,1.94,1.32,7.31,2.13,374,29,99,-2.63,-0.19,-0.6,债券型-混合一级,开放申购,开放赎回,,10,1E+11,0.3,0.1,0.4,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2024/11/23
675113,西部利得汇享债券C,2017/3/10,2026/2/27,4.98,6.98,3.24,82,78,72,0.77,0.42,0.16,2.06,3.3,83,83,74,0.6,0.32,0.13,1.15,3.08,75,69,0.37,0.15,0.53,1.11,1.47,1.9,5.86,2.87,373,40,56,-0.34,-0.12,-0.34,债券型-混合一级,开放申购,开放赎回,,10,1E+11,0.5,0.1,0.1,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2024/10/10
700006,平安添利债券C,2012/11/27,2026/2/27,13.25,5.83,3.13,87,76,68,1.03,0.5,0.24,2.76,4.3,100,86,71,0.68,0.35,0.2,1.1,3.02,83,69,0.21,0.12,0.61,0.3,2.15,1.92,4.94,3.91,132,55,65,-1.1,-0.44,-1.1,债券型-混合一级,限大额,开放赎回,,10,10000000,0.3,0.1,0.4,0,fund_overview.最高认购费率,0,fund_purchase.手续费,2026/2/27,2022/12/31
